---,Position
Point0,"(X=-15181.269851,Y=19754.193575,Z=1298.999634)"
Point1,"(X=-15657.300180,Y=19893.135387,Z=1336.422485)"
Point2,"(X=-16152.077576,Y=19931.190750,Z=1398.271240)"
Point3,"(X=-16644.370246,Y=19993.366186,Z=1467.743896)"
Point4,"(X=-17138.487405,Y=20037.243731,Z=1538.782715)"
Point5,"(X=-17634.799200,Y=20034.440933,Z=1603.071045)"
Point6,"(X=-18120.998834,Y=19936.732711,Z=1654.360229)"
Point7,"(X=-18585.798981,Y=19763.507920,Z=1695.261353)"
Point8,"(X=-19007.754896,Y=19515.345832,Z=1729.276123)"
Point9,"(X=-19100.834828,Y=19029.599404,Z=1756.155029)"
Point10,"(X=-19195.058836,Y=18542.576784,Z=1773.083740)"
Point11,"(X=-19277.351008,Y=18053.376553,Z=1777.925903)"
Point12,"(X=-19352.933341,Y=17562.823637,Z=1772.277222)"
Point13,"(X=-19420.099832,Y=17071.760879,Z=1758.026733)"
Point14,"(X=-19471.945026,Y=16578.258130,Z=1738.019897)"
Point15,"(X=-19534.819918,Y=16085.949253,Z=1714.666504)"
Point16,"(X=-19584.347348,Y=15592.218627,Z=1690.111572)"
Point17,"(X=-19640.156751,Y=15099.103927,Z=1664.472412)"
Point18,"(X=-19695.426143,Y=14606.184434,Z=1631.141602)"
Point19,"(X=-19716.900000,Y=14110.879474,Z=1592.503296)"
Point20,"(X=-19717.435336,Y=13614.504767,Z=1552.616577)"
Point21,"(X=-19739.800000,Y=13119.197742,Z=1516.943970)"
Point22,"(X=-19760.864803,Y=12623.867291,Z=1489.224854)"
Point23,"(X=-19752.109240,Y=12128.162609,Z=1470.773560)"
Point24,"(X=-19729.193751,Y=11633.715808,Z=1459.793091)"
Point25,"(X=-19595.349443,Y=11160.955270,Z=1449.301392)"
Point26,"(X=-19166.229382,Y=10917.187597,Z=1428.109497)"
Point27,"(X=-18754.760110,Y=10645.534395,Z=1410.477905)"
Point28,"(X=-18459.471513,Y=10248.300657,Z=1402.422363)"
Point29,"(X=-18333.852992,Y=9769.650565,Z=1404.755249)"
Point30,"(X=-18252.148039,Y=9280.531179,Z=1409.906372)"
Point31,"(X=-18155.509688,Y=8794.408100,Z=1416.951904)"
Point32,"(X=-18055.902666,Y=8309.214379,Z=1427.876831)"
Point33,"(X=-17753.696271,Y=7924.689656,Z=1434.073730)"
Point34,"(X=-17292.631411,Y=7750.905855,Z=1437.582886)"
Point35,"(X=-16807.198659,Y=7648.542253,Z=1445.124756)"
Point36,"(X=-16314.255552,Y=7591.078876,Z=1453.564941)"
Point37,"(X=-15821.773931,Y=7534.193028,Z=1459.107422)"
Point38,"(X=-15638.531009,Y=7102.413442,Z=1475.665039)"
Point39,"(X=-15597.375053,Y=6608.476816,Z=1491.757935)"
Point40,"(X=-15549.101228,Y=6115.590924,Z=1501.820679)"
Point41,"(X=-15569.957733,Y=5620.254817,Z=1510.093018)"
Point42,"(X=-15594.609979,Y=5124.981883,Z=1517.095825)"
Point43,"(X=-15617.799206,Y=4629.679140,Z=1521.567017)"
Point44,"(X=-15606.543057,Y=4134.276055,Z=1521.348145)"
Point45,"(X=-15572.004448,Y=3639.600662,Z=1515.151367)"
Point46,"(X=-15572.000000,Y=3143.223105,Z=1503.375854)"
Point47,"(X=-15549.635227,Y=2648.267830,Z=1483.777344)"
Point48,"(X=-15505.120746,Y=2154.208313,Z=1457.522827)"
Point49,"(X=-15458.390715,Y=1660.221531,Z=1426.681763)"
Point50,"(X=-15434.209566,Y=1164.955989,Z=1392.333740)"
Point51,"(X=-15439.119493,Y=670.632518,Z=1354.918457)"
Point52,"(X=-15536.213874,Y=184.122906,Z=1314.513306)"
Point53,"(X=-15661.385966,Y=-295.570299,Z=1270.908569)"
Point54,"(X=-15772.234842,Y=-779.151251,Z=1220.774292)"
Point55,"(X=-15942.793728,Y=-1245.045676,Z=1167.168213)"
Point56,"(X=-16124.611258,Y=-1706.863146,Z=1113.973389)"
Point57,"(X=-16341.206737,Y=-2153.123870,Z=1065.333252)"
Point58,"(X=-16573.358233,Y=-2591.667946,Z=1022.144897)"
Point59,"(X=-16696.478919,Y=-3030.133054,Z=985.607178)"
Point60,"(X=-16201.722233,Y=-3045.700000,Z=989.831848)"
Point61,"(X=-15705.346401,Y=-3046.110404,Z=998.889343)"
Point62,"(X=-15210.040500,Y=-3068.600000,Z=1007.773682)"
Point63,"(X=-14716.204075,Y=-3104.792489,Z=1017.675903)"
Point64,"(X=-14580.021797,Y=-3551.351918,Z=999.774353)"
Point65,"(X=-14617.282027,Y=-4042.825344,Z=982.026855)"
Point66,"(X=-14725.446859,Y=-4527.174540,Z=967.617249)"
Point67,"(X=-14830.911139,Y=-5012.131487,Z=955.931396)"
Point68,"(X=-14839.200000,Y=-5508.143288,Z=951.008484)"
Point69,"(X=-14839.200000,Y=-6004.520845,Z=947.468262)"
Point70,"(X=-14839.200000,Y=-6500.898402,Z=943.912048)"
Point71,"(X=-14839.200000,Y=-6997.275959,Z=942.679993)"
Point72,"(X=-14839.200000,Y=-7493.653515,Z=943.782715)"
Point73,"(X=-14839.200000,Y=-7990.031072,Z=946.957214)"
Point74,"(X=-14839.778713,Y=-8486.405390,Z=951.862122)"
Point75,"(X=-14885.472919,Y=-8980.294542,Z=952.874390)"
Point76,"(X=-14934.282591,Y=-9474.012405,Z=955.268555)"
Point77,"(X=-14959.709728,Y=-9969.623915,Z=966.936890)"
Point78,"(X=-14963.949958,Y=-10465.792322,Z=984.805847)"
Point79,"(X=-14954.780993,Y=-10960.173476,Z=1004.742798)"
Point80,"(X=-14848.787472,Y=-11444.971580,Z=1030.409302)"
Point81,"(X=-14746.947289,Y=-11930.594165,Z=1048.694580)"
Point82,"(X=-14585.381874,Y=-12399.138901,Z=1062.341064)"
Point83,"(X=-14408.394605,Y=-12862.684752,Z=1065.899658)"
Point84,"(X=-14217.342478,Y=-13320.575117,Z=1060.546631)"
Point85,"(X=-14205.247673,Y=-13810.630705,Z=1032.219727)"
Point86,"(X=-14255.675409,Y=-14304.261617,Z=997.742676)"
Point87,"(X=-14182.272457,Y=-14774.248391,Z=974.024963)"
Point88,"(X=-13862.104348,Y=-15153.235921,Z=971.418762)"
Point89,"(X=-13525.953645,Y=-15518.024829,Z=973.379883)"
Point90,"(X=-13203.900056,Y=-15895.486691,Z=974.028137)"
Point91,"(X=-12892.204853,Y=-16281.559451,Z=974.373352)"
Point92,"(X=-12545.860578,Y=-16636.131305,Z=980.177185)"
Point93,"(X=-12129.774136,Y=-16905.859688,Z=996.110840)"
Point94,"(X=-11661.465603,Y=-17055.220897,Z=1023.210327)"
Point95,"(X=-11185.346490,Y=-17193.426096,Z=1052.661743)"
Point96,"(X=-10718.909158,Y=-17362.278980,Z=1079.305420)"
Point97,"(X=-10248.921511,Y=-17520.140994,Z=1108.638916)"
Point98,"(X=-9809.375753,Y=-17749.430142,Z=1133.665283)"
Point99,"(X=-9376.991048,Y=-17992.119566,Z=1158.277222)"
Point100,"(X=-8935.789306,Y=-18218.625486,Z=1182.136597)"
Point101,"(X=-8510.673377,Y=-18474.468658,Z=1195.952759)"
Point102,"(X=-8088.504904,Y=-18735.174992,Z=1199.097656)"
Point103,"(X=-7644.804441,Y=-18956.920490,Z=1201.168213)"
Point104,"(X=-7189.169851,Y=-19149.166616,Z=1204.886108)"
